"idrepository","classe","code_smell"
"606da4d1ff0b204d6406fc9d","com.anvol.coloripher.actors.ScoreActor",NULL
"606da4d1ff0b204d6406fc9d","com.anvol.coloripher.MyGdxGame",NULL
"606da4d1ff0b204d6406fc9d","com.anvol.coloripher.screens.GameoverScreen",NULL
"606da4d1ff0b204d6406fc9d","com.anvol.coloripher.actors.BulbActor",NULL
"606da4d1ff0b204d6406fc9d","com.anvol.coloripher.screens.GameplayScreen",NULL
"606da4d1ff0b204d6406fc9d","com.anvol.coloripher.screens.BaseScreen",NULL
"606da4d1ff0b204d6406fc9d","com.anvol.coloripher.actors.GameplayStage",NULL
"606da4d1ff0b204d6406fc9d","com.anvol.coloripher.android.AndroidLauncher",NULL
"606da4d1ff0b204d6406fc9d","com.anvol.coloripher.desktop.DesktopLauncher",NULL
"606da4d1ff0b204d6406fc9d","com.anvol.coloripher.actors.CircleActor",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.SplitTheNumber.SplitTheNumber",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.SumOfDigits.SumOfDigits",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.EvenOdd.EvenOdd",NULL
"606da4d4ff0b204d6406fca4","CodeEval.Easy.Capitalize",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.CalculateDistance.CalculateDistance",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.ReverseGroups.ReverseGroups",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.IsStringRotation.IsStringRotation",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.ReverseSentence.ReverseSentence",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.ValidParenthesis.ValidParenthesis",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.RightMostChar.RightMostChar",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.FindTheWriter.FindTheWriter",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.MthToLastElement.MthToLastElement",NULL
"606da6baff0b20482c14cbd0","es.kike.notes.ApplicationTest",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.ShortestRepition.ShortestRepition",NULL
"606da6baff0b20482c14cbd0","es.kike.notes.HomeActivity",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.StringSearching.StringSearching",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.MultiplicationTable.MultiplicationTable",NULL
"606da6baff0b20482c14cbd0","es.kike.notes.NotesListActivity",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.Endianness.Endianness",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.MixedContent.MixedContent",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.SumOfPrimes.SumOfPrimes",NULL
"606da6baff0b20482c14cbd0","es.kike.notes.ExampleUnitTest",NULL
"606da6bdff0b20482c14cbd5","org.chromium.SelectorMessage",NULL
"606da6bdff0b20482c14cbd5","org.chromium.MulticastReadThread",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.PointsDistance.PointsDistance",NULL
"606da6bdff0b20482c14cbd5","org.chromium.UdpSendPacket",NULL
"606da4d4ff0b204d6406fca4","CodeEval.Easy.RollerCoaster",NULL
"606da6bdff0b20482c14cbd5","org.chromium.UdpSocket","GOD_CLASS"
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.OddNumberPrinting.OddNumberPrinting",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.MultiplyLists.MultiplyLists",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.Josephus.Josephus",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.WordChain.WordChain",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.SortNumbers.SortNumbers",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.SwapCase.SwapCase",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.HexToDecimal.HexToDecimal",NULL
"606da4d4ff0b204d6406fca4","Test",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.NextToLastWord.NextToLastWord",NULL
"606da6bdff0b20482c14cbd5","org.chromium.ChromeSocketsUdp","GOD_CLASS"
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.WordToDigit.WordToDigit",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.FileSize.FileSize",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.MultiplesOfNumber.MultiplesOfNumber",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.BitPositions.BitPositions",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.LowestUniqueNumber.LowestUniqueNumber",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.SetOperation.SetOperation",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.ReverseAndAdd.ReverseAndAdd",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.SwapElements.SwapElements",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.Pangrams.PangramsEval",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Hard.StringPermutations.StringPermutations",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.VerticalBrands.FasterPrimeFinder.SieveEratosthenes",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.BiggestPrimeNumber.PrimeSieve",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.FizzBuzz.FizzBuzz",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.TrailingString.TrailingString",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.EmailValidator.EmailValidator",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.Modulus.Modulus",NULL
"606dab96ff0b203cecd6e008","com.mkyong.stock.bo.impl.StockBoImpl",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.CompressedSequence.CompressedSequence",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.RemoveCharacters.RemoveChars",NULL
"606da6bdff0b20482c14cbd5","org.chromium.SelectorThread",NULL
"606dab96ff0b203cecd6e008","com.mkyong.gui.ClearButtonActionListenner",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.StackImplementation.StackImplementation",NULL
"606dab96ff0b203cecd6e008","com.mkyong.gui.SearchButtonActionListenner",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.CountingPrimes.CountingPrimes",NULL
"606dab96ff0b203cecd6e008","com.mkyong.gui.GuiScl",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.ToLowerCase.ToLowerCase",NULL
"606dab96ff0b203cecd6e008","com.mkyong.gui.ListenerSearchStudent",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.UniqueElements.UniQueElements",NULL
"606dab96ff0b203cecd6e008","com.mkyong.common.App",NULL
"606dab96ff0b203cecd6e008","com.mkyong.stock.dao.StockDao",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.MajorElementInSequence.MajorElementInSequence",NULL
"606dab96ff0b203cecd6e008","com.mkyong.gui.ListennerRegisterStudent",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.Pangrams.Pangrams",NULL
"606dab96ff0b203cecd6e008","com.mkyong.gui.JComboBox_",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.FirstNonRepeatingCharacter.FirstNonRepeatingCharacter",NULL
"606db0f1ff0b2031ecac570b","com.thedeveloperworldisyours.whichit.adapters.TabsAdapter",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Moderate.DecimalToBinary.DecimalToBinary",NULL
"606dab96ff0b203cecd6e008","com.mkyong.gui.View",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.BiggestPrimeNumber.FasterPrimeFinder",NULL
"606db0f1ff0b2031ecac570b","com.thedeveloperworldisyours.whichit.listener.InfiniteScrollListener",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.Easy.ArmstrongNumber.ArmstrongNumber",NULL
"606dab96ff0b203cecd6e008","com.mkyong.stock.model.Student",NULL
"606db0f1ff0b2031ecac570b","com.thedeveloperworldisyours.whichit.adapters.ViewHolder",NULL
"606db0f1ff0b2031ecac570b","com.thedeveloperworldisyours.whichit.adapters.GridAdapter",NULL
"606db0f1ff0b2031ecac570b","com.thedeveloperworldisyours.whichit.models.Datum",NULL
"606da4d4ff0b204d6406fca4","com.CodeEval.VerticalBrands.FasterPrimeFinder.FasterPrimeFinder",NULL
"606dab96ff0b203cecd6e008","com.mkyong.stock.dao.impl.StudentDaoImpl",NULL
"606dab96ff0b203cecd6e008","com.mkyong.stock.model.Stock",NULL
"606dab96ff0b203cecd6e008","com.mkyong.gui.StaticContents",NULL
"606dab96ff0b203cecd6e008","com.mkyong.stock.dao.StudentDao",NULL
"606dab96ff0b203cecd6e008","com.mkyong.common.AppTest",NULL
"606dab96ff0b203cecd6e008","com.mkyong.stock.bo.impl.StudentBoimpl",NULL
"606db0f1ff0b2031ecac570b","com.thedeveloperworldisyours.whichit.models.Likes",NULL
"606dab96ff0b203cecd6e008","com.mkyong.stock.bo.StockBo",NULL
"606db0f1ff0b2031ecac570b","com.thedeveloperworldisyours.whichit.models.Pagination",NULL
"606dab96ff0b203cecd6e008","com.mkyong.stock.bo.StudentBo",NULL
"606dab96ff0b203cecd6e008","com.mkyong.util.CustomHibernateDaoSupport",NULL
"606dab96ff0b203cecd6e008","com.mkyong.stock.dao.impl.StockDaoImpl",NULL
"606db0f1ff0b2031ecac570b","com.thedeveloperworldisyours.whichit.ApplicationTest",NULL
"606dab98ff0b203cecd6e00d","com.sinius15.MMV.MethodFinder",NULL
"606db0f1ff0b2031ecac570b","com.thedeveloperworldisyours.whichit.models.Comments",NULL
"606dab98ff0b203cecd6e00d","com.sinius15.MMV.components.HeapFrame",NULL
"606db0f1ff0b2031ecac570b","com.thedeveloperworldisyours.whichit.fragmanets.ListFragment",NULL
"606dab98ff0b203cecd6e00d","com.sinius15.MMV.components.primitives.FloatPrimitive",NULL
"606db0f1ff0b2031ecac570b","com.thedeveloperworldisyours.whichit.utils.Utils",NULL
"606db0f1ff0b2031ecac570b","com.thedeveloperworldisyours.whichit.models.Instagram",NULL
"606dab98ff0b203cecd6e00d","com.sinius15.MMV.components.Stackframe",NULL
"606db0f1ff0b2031ecac570b","com.thedeveloperworldisyours.whichit.fragmanets.GridFragment",NULL
