project,class
jmeter,PlaceHolder
jgraphpad,JGraphEllipseView
xmojo,MBeanServerImpl
lucene,Searchable
tomcat,Strftime
poi,TestValueRecordsAggregate
ganttproject,ProjectUIFacadeImpl
htmlunit,FocusableElementTest
maven,DefaultModelInheritanceAssembler
columba,ComposerFacade
exoportal,SessionLogPersister
proguard,ConfigurationTask
struts,JSONWriter
findbugs,MissingClassException
freecol,ServerAPI
itext,DrawInterface
jfreechart,XYAreaRendererState
tapestry,Document
jgraph,GraphSelectionHandler
weka,TabuSearch
galleon,IMDB
rssowl,CleanUpModel
castor,Father
drjava,GlobalModelJUnitTest
ivatagroupware,1
struts,RestActionInvocation
jasperreports,ChartPdfHandler
freecol,Map
exoportal,SelectPortletActionListener
emma,NameAttribute
joggplayer,StreamState
findbugs,MethodReturnValueStreamFactory
displaytag,TableDecoratorOne
pmd,NoLongScriptsTest
jchempaint,RNode
jfreechart,DialTextAnnotation
columba,SendableHeader
jgroups,ListAllMyBucketsResponse
c_jdbc,InsertRequestTest
c_jdbc,Console
poi,ParseNode
jfreechart,XYPlot
jena,GraphMemFasterStatisticsHandler
rssowl,Messages
xerces,DTDDispatcher
exoportal,UIText
jspwiki,WikiJSONAccessor
tomcat,FileDirContext
columba,EnabledEditor
fitlibraryforfitnesse,TableElementBuilder
tapestry,StrategyBuilderImpl
struts,If
informa,ItemEnclosure
emma,RandomAccessFileInputStream
htmlunit,SelectionTest
jena,NonIANAnioEncoding
galleon,SlideshowScreen
xerces,DOMNamespaceContext
tomcat,HttpSessionBindingEvent
megamek,CLPlasmaCannon
checkstyle,DefaultLogger
pmd,STBBaseTst
freemind,Controller
weka,ResultSetTableModel
axion,AxionPreparedStatement
maven,DefaultResolutionErrorHandler
xalan,XPATHErrorResources_pt_BR
freecol,InputHandler
proguard,LessZeroFrame
xerces,WMLIElementImpl
jgroups,ProtocolParameter
ganttproject,DefaultBooleanOption
itext,PRAcroForm
ganttproject,AddBlankLineAction
freecol,ColopediaTreeItem
